epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.743,1.77203,4.45782,1.30176,0.00293,1,0.01326,0.00442,1.42705,4.55355,1.21499,0.00024,0.00024,0.00024
2,157.965,1.58029,2.95709,1.18848,0.00273,0.93103,0.0071,0.00342,1.58777,4.7793,1.28958,0.00049505,0.00049505,0.00049505
3,245.682,1.60255,2.50543,1.16038,0.00232,0.7931,0.00409,0.00229,1.58325,5.03798,1.24681,0.000744952,0.000744952,0.000744952
