epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4374.52,1.19947,0.78594,1.07617,0.96639,0.99155,0.97667,0.50937,1.52291,1.05955,1.18912,0.0011882,0.0011882,0.0011882
43,4480.36,1.26514,0.83285,1.05253,0.89571,0.89655,0.92526,0.48424,1.37682,0.92976,1.1275,0.0011684,0.0011684,0.0011684
44,4586.11,1.30121,0.86488,1.0831,0.92594,0.96552,0.96744,0.50172,1.51824,0.96262,1.18688,0.0011486,0.0011486,0.0011486
45,4692.31,1.24219,0.83482,1.07841,0.9328,0.95746,0.92631,0.5055,1.56483,0.89338,1.15531,0.0011288,0.0011288,0.0011288
46,4798.73,1.13205,0.79339,1.06679,0.9249,0.96552,0.94698,0.55854,1.49175,0.83047,1.17085,0.001109,0.001109,0.001109
47,4904.28,1.22506,0.79661,1.04787,0.92973,0.96552,0.96982,0.55461,1.80815,0.84726,1.25824,0.0010892,0.0010892,0.0010892
48,5010.15,1.11313,0.73385,1.00382,0.93141,0.96552,0.96177,0.53458,1.64145,0.71097,1.2151,0.0010694,0.0010694,0.0010694
49,5116.34,1.19081,0.79634,1.05079,0.96217,1,0.994,0.55491,1.60152,0.72874,1.22966,0.0010496,0.0010496,0.0010496
50,5222.37,1.11036,0.77155,1.0304,0.9601,1,0.993,0.59239,1.50733,0.76247,1.24083,0.0010298,0.0010298,0.0010298
51,5332.34,1.12296,0.75881,0.99213,0.96308,1,0.99167,0.59857,1.50654,0.78618,1.20245,0.00101,0.00101,0.00101
52,5439.77,1.16985,0.74369,1.04894,0.9651,1,0.98133,0.63254,1.40403,0.71007,1.22118,0.0009902,0.0009902,0.0009902
53,5545.18,1.07943,0.70311,1.00702,0.96417,1,0.98367,0.60633,1.37115,0.73798,1.12875,0.0009704,0.0009704,0.0009704
54,5651.74,1.1081,0.71044,1.0413,0.89768,0.93103,0.93369,0.55407,1.52329,0.81085,1.14154,0.0009506,0.0009506,0.0009506
55,5756.64,1.09115,0.70494,1.01209,0.98268,0.93103,0.9717,0.639,1.55652,0.80984,1.19192,0.0009308,0.0009308,0.0009308
56,5863.38,1.10771,0.69398,1.00402,0.93118,0.96552,0.96194,0.5748,1.45378,0.84359,1.14639,0.000911,0.000911,0.000911
57,5968.79,1.12157,0.72201,1.02274,0.96408,1,0.978,0.56646,1.64092,0.75543,1.2208,0.0008912,0.0008912,0.0008912
58,6074.86,1.11386,0.72585,1.00468,0.93022,0.96552,0.91278,0.5822,1.69031,0.82696,1.21061,0.0008714,0.0008714,0.0008714
59,6179.77,1.08649,0.67567,1.00897,0.93005,0.96552,0.93907,0.56767,1.60357,0.75415,1.13128,0.0008516,0.0008516,0.0008516
60,6285.66,1.03702,0.69047,0.98204,0.96328,1,0.97433,0.59592,1.54541,0.67436,1.20756,0.0008318,0.0008318,0.0008318
61,6390.86,1.09966,0.69512,1.00094,0.96336,1,0.97667,0.59042,1.73276,0.69574,1.22992,0.000812,0.000812,0.000812
62,6496.8,1.05145,0.72111,1.00355,0.93147,0.96552,0.94342,0.53528,1.51392,0.69438,1.13019,0.0007922,0.0007922,0.0007922
63,6602.2,1.06626,0.69994,1.00527,0.93076,0.96552,0.92328,0.49797,1.45956,0.67082,1.14465,0.0007724,0.0007724,0.0007724
64,6707.44,1.15324,0.71757,1.01979,0.92813,0.96552,0.92503,0.55001,1.47247,0.69934,1.17029,0.0007526,0.0007526,0.0007526
65,6812.99,1.07905,0.69893,1.01117,0.93011,0.96552,0.9408,0.54053,1.53646,0.70295,1.17936,0.0007328,0.0007328,0.0007328
66,6919.67,1.09123,0.70679,1.00183,0.92657,0.96552,0.95092,0.5718,1.31355,0.72804,1.12407,0.000713,0.000713,0.000713
67,7025.39,1.07291,0.67131,1.00064,0.92775,0.96552,0.94083,0.56067,1.28925,0.74069,1.12391,0.0006932,0.0006932,0.0006932
68,7131.31,1.08705,0.67441,1.00585,0.92952,0.96552,0.95435,0.57767,1.22503,0.79728,1.0876,0.0006734,0.0006734,0.0006734
69,7236.58,1.02091,0.62468,0.97308,0.96252,1,0.98267,0.62053,1.13965,0.6979,1.07496,0.0006536,0.0006536,0.0006536
70,7342.96,1.01579,0.66752,0.96552,0.96287,1,0.98833,0.60349,1.25464,0.67517,1.11073,0.0006338,0.0006338,0.0006338
71,7452.86,0.95311,0.65115,0.96019,0.96571,1,0.99067,0.56781,1.43708,0.71082,1.17238,0.000614,0.000614,0.000614
72,7559.37,0.97558,0.60862,0.95019,0.9294,0.96552,0.96754,0.60078,1.26576,0.73961,1.12385,0.0005942,0.0005942,0.0005942
73,7664.5,0.97232,0.63958,0.97397,0.9304,0.96552,0.96211,0.62787,1.18511,0.68811,1.08229,0.0005744,0.0005744,0.0005744
